Name	red	green	blue
Date	09/02/2018	09/02/2018	09/02/2018
Time	06:45pm	06:45pm	06:46pm
616	0.015066387	0.000831464	9.79719E-05
617	0.011162937	0.000560851	8.16521E-05
618	0.007164742	0.000290985	6.45358E-05
619	0.003806945	7.36945E-05	4.92439E-05
620	0.001788337	0	3.82726E-05
621	0.001204661	0	3.21178E-05
622	0.001547072	0	2.91542E-05
623	0.002289733	6.39473E-05	2.77434E-05
624	0.002935357	0.000105582	2.63456E-05
625	0.003319285	0.000112473	2.45855E-05
626	0.003524662	9.89287E-05	2.29683E-05
627	0.003631183	7.93823E-05	2.1956E-05
628	0.00371363	6.70025E-05	2.1962E-05
629	0.003776657	6.35009E-05	2.27258E-05
630	0.003789196	6.4751E-05	2.36439E-05
631	0.003725739	6.67019E-05	2.415E-05
632	0.003552693	6.5716E-05	2.3701E-05
633	0.003261926	6.14583E-05	2.22986E-05
634	0.002851847	5.46596E-05	2.01142E-05
635	0.002320876	4.60523E-05	1.73193E-05
636	0.001694305	3.65389E-05	1.41576E-05
637	0.00106146	2.71005E-05	1.09241E-05
638	0.000533989	1.89081E-05	7.9882E-06
639	0.00022404	1.31381E-05	5.72111E-06
640	0.000174288	1.02878E-05	4.27813E-06
641	0.000292903	9.53465E-06	3.39534E-06
642	0.000472076	9.9085E-06	2.76289E-06
643	0.00060542	1.04453E-05	2.07572E-06
644	0.000654437	1.07564E-05	1.31384E-06
645	0.00065738	1.11041E-05	7.7937E-07
646	0.000656799	1.17856E-05	7.93871E-07
647	0.000692363	1.30618E-05	1.64398E-06
648	0.000765107	1.47178E-05	3.19054E-06
649	0.000851367	1.6234E-05	5.02128E-06
650	0.000926898	1.70821E-05	6.71637E-06
651	0.000970594	1.68426E-05	7.91164E-06
652	0.000977878	1.56779E-05	8.54682E-06
653	0.00094993	1.39513E-05	8.66488E-06
654	0.000887958	1.20293E-05	8.30938E-06
655	0.000798282	1.02302E-05	7.58636E-06
656	0.000698724	8.72342E-06	6.74625E-06
657	0.000613093	7.70544E-06	6.10235E-06
658	0.0005626	7.33893E-06	5.93928E-06
659	0.000551941	7.60414E-06	6.23601E-06
660	0.00056513	8.25287E-06	6.58856E-06
661	0.00058413	9.011E-06	6.56061E-06
662	0.000593335	9.63817E-06	5.79584E-06
663	0.00058629	1.001E-05	4.57414E-06
664	0.000562471	1.00778E-05	3.56106E-06
665	0.000521437	9.79432E-06	3.42339E-06
666	0.000465024	9.17255E-06	4.57003E-06
667	0.000399855	8.38523E-06	6.30626E-06
668	0.000335135	7.67115E-06	7.65567E-06
669	0.000280018	7.26677E-06	7.65015E-06
670	0.000239478	7.21483E-06	6.00526E-06
671	0.000210951	7.21255E-06	3.61318E-06
672	0.000191832	6.9459E-06	1.50046E-06
673	0.000179155	6.12596E-06	6.11495E-07
674	0.000170436	4.9407E-06	9.75293E-07
675	0.000163549	3.92686E-06	1.95086E-06
676	0.000156204	3.62186E-06	2.88192E-06
677	0.000147559	4.41414E-06	3.26676E-06
678	0.000141335	5.98748E-06	3.26711E-06
679	0.00014257	7.83091E-06	3.23096E-06
680	0.000156209	9.44345E-06	3.49883E-06
681	0.000184969	1.07057E-05	4.1482E-06
682	0.000225667	1.19801E-05	4.77439E-06
683	0.000275205	1.37135E-05	4.94025E-06
684	0.000330547	1.63125E-05	4.2612E-06
685	0.000389508	1.97105E-05	2.96261E-06
686	0.000451125	2.35791E-05	1.65684E-06
687	0.000513246	2.75234E-05	9.57971E-07
688	0.000572295	3.1129E-05	1.24445E-06
689	0.000618285	3.38412E-05	2.06885E-06
690	0.000639789	3.50712E-05	2.80593E-06
691	0.000626077	3.42707E-05	2.84566E-06
692	0.000578625	3.16213E-05	2.14498E-06
693	0.000513863	2.81923E-05	1.30488E-06
694	0.000449206	2.51128E-05	9.68155E-07
695	0.000399488	2.33358E-05	1.64256E-06
696	0.000363414	2.27142E-05	2.99899E-06
697	0.000333107	2.26578E-05	4.39349E-06
698	0.000301049	2.25977E-05	5.17752E-06
699	0.00027459	2.30918E-05	5.14531E-06
700	0.000286602	2.66323E-05	4.85577E-06
701	0.00037372	3.60119E-05	4.96148E-06
702	0.000567191	5.36381E-05	6.02727E-06
703	0.000852359	7.88216E-05	7.89977E-06
704	0.001189322	0.000109168	1.00306E-05
705	0.00153696	0.000142207	1.18553E-05
706	0.001854503	0.000174813	1.30601E-05
707	0.002112523	0.000203324	1.39841E-05
708	0.002280601	0.000223751	1.50459E-05
709	0.002330446	0.000232333	1.66095E-05
710	0.002264821	0.000228826	1.83185E-05
711	0.002104504	0.000215044	1.93237E-05
712	0.001876083	0.000193388	1.87942E-05
713	0.001602458	0.000166139	1.63326E-05
714	0.001302839	0.000135837	1.27106E-05
715	0.000996131	0.000105103	8.89584E-06
716	0.000702309	7.65978E-05	5.82028E-06
717	0.000441014	5.19719E-05	3.71931E-06
718	0.000234268	3.24536E-05	2.37999E-06
719	0.000104529	1.9285E-05	1.57665E-06
720	5.94567E-05	1.27754E-05	1.12913E-06
721	6.9544E-05	1.089E-05	9.7487E-07
722	9.9179E-05	1.12267E-05	1.07046E-06
723	0.000114707	1.14809E-05	1.36067E-06
724	0.000109945	1.09967E-05	1.69371E-06
725	9.53159E-05	1.01133E-05	1.85822E-06
726	8.15456E-05	9.18073E-06	1.63867E-06
727	7.52032E-05	8.44001E-06	1.01198E-06
728	7.38791E-05	7.86498E-06	3.40252E-07
729	7.40544E-05	7.39778E-06	3.69503E-08
730	7.25274E-05	7.00091E-06	4.43293E-07
731	6.87255E-05	6.7861E-06	1.31127E-06
732	6.35756E-05	6.96099E-06	2.11952E-06
733	5.79075E-05	7.71903E-06	2.34845E-06
734	5.28218E-05	9.0267E-06	1.83825E-06
735	4.9809E-05	1.05206E-05	9.52641E-07
736	5.05035E-05	1.18329E-05	9.92604E-08
737	5.57737E-05	1.26238E-05	0
738	6.37553E-05	1.29307E-05	0
739	7.17024E-05	1.29E-05	0
740	7.69363E-05	1.2683E-05	3.92473E-07
741	7.89604E-05	1.24871E-05	1.07994E-06
742	7.91854E-05	1.25537E-05	1.64542E-06
743	7.91557E-05	1.31362E-05	1.83474E-06
744	7.96397E-05	1.41996E-05	1.51574E-06
745	7.93087E-05	1.49388E-05	8.86543E-07
746	7.65072E-05	1.44163E-05	2.03042E-07
747	6.97907E-05	1.18474E-05	0
748	6.04863E-05	8.00895E-06	0
749	5.13205E-05	4.47527E-06	0
750	4.50345E-05	2.83139E-06	3.74669E-07
751	4.2383E-05	3.57627E-06	1.41691E-06
752	4.11845E-05	5.73436E-06	2.67606E-06
753	3.91E-05	8.209E-06	3.95329E-06
754	3.45194E-05	1.00429E-05	5.07311E-06
755	2.86074E-05	1.0858E-05	5.95822E-06
756	2.32287E-05	1.04176E-05	6.56337E-06
757	2.0053E-05	8.52217E-06	6.83358E-06
758	1.92327E-05	5.89747E-06	6.86557E-06
759	1.9952E-05	3.83932E-06	6.84551E-06
760	2.13552E-05	3.67536E-06	6.96371E-06
761	2.26933E-05	5.60147E-06	7.2148E-06
762	2.35032E-05	8.17151E-06	7.34378E-06
763	2.32936E-05	9.76104E-06	7.05624E-06
764	2.19611E-05	9.26423E-06	6.22652E-06
765	2.07833E-05	7.5019E-06	5.3368E-06
766	2.13369E-05	5.73224E-06	5.00709E-06
767	2.50203E-05	5.1751E-06	5.78727E-06
768	3.05888E-05	6.13517E-06	7.28454E-06
769	3.53934E-05	8.44216E-06	8.60426E-06
770	3.67864E-05	1.19E-05	8.85201E-06
771	3.44834E-05	1.58074E-05	7.93227E-06
772	3.10034E-05	1.88987E-05	6.6917E-06
773	2.90575E-05	1.98446E-05	6.04335E-06
774	3.02103E-05	1.80638E-05	6.53057E-06
775	3.31202E-05	1.48554E-05	7.75793E-06
776	3.59745E-05	1.18347E-05	9.17872E-06
777	3.72097E-05	1.03209E-05	1.02976E-05
778	3.68445E-05	9.84618E-06	1.09662E-05
779	3.54443E-05	9.31643E-06	1.11534E-05
780	3.35575E-05	7.72062E-06	1.08331E-05
