wavelength [nm],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)]
750,4.11E-05,1.31E-05,3.44E-09
751,3.51E-05,1.21E-05,0
752,2.90E-05,1.05E-05,1.70E-07
753,2.43E-05,8.97E-06,5.50E-07
754,2.18E-05,7.83E-06,1.12E-06
755,2.08E-05,7.00E-06,1.71E-06
756,2.05E-05,6.23E-06,2.12E-06
757,2.00E-05,5.26E-06,2.16E-06
758,1.92E-05,4.17E-06,2.01E-06
759,1.90E-05,3.19E-06,2.00E-06
760,2.00E-05,2.56E-06,2.51E-06
761,2.20E-05,2.43E-06,3.52E-06
762,2.36E-05,2.78E-06,4.43E-06
763,2.32E-05,3.57E-06,4.59E-06
764,2.01E-05,4.74E-06,3.65E-06
765,1.60E-05,6.14E-06,2.47E-06
766,1.37E-05,7.59E-06,2.17E-06
767,1.53E-05,8.93E-06,3.71E-06
768,1.99E-05,1.01E-05,6.47E-06
769,2.47E-05,1.12E-05,8.97E-06
770,2.66E-05,1.23E-05,9.71E-06
771,2.52E-05,1.31E-05,8.49E-06
772,2.21E-05,1.33E-05,6.61E-06
773,1.93E-05,1.26E-05,5.47E-06
774,1.78E-05,1.09E-05,5.81E-06
775,1.68E-05,8.92E-06,6.56E-06
776,1.49E-05,7.74E-06,6.42E-06
777,1.10E-05,8.03E-06,4.41E-06
778,6.66E-06,9.20E-06,1.75E-06
779,3.90E-06,1.02E-05,4.17E-07
780,4.77E-06,9.87E-06,2.23E-06
